,d1,d2,simScore
0,DCC1838,DCC1846,0.943661972
1,DCC0029,DCC1191,0.866666667
2,DCC0029,DCC0157,0.933333333
3,DCC0036,DCC1811,0.863636364
4,DCC0036,DCC0145,0.886363636
5,DCC0039,DCC0021,0.957446809
6,DCC0042,DCC0070,0.972222222
7,DCC0042,DCC1241,0.944444444
8,DCC0042,DCC0180,0.891891892
9,DCC0058,DCC0135,0.882352941
10,DCC0061,DCC0026,0.873015873
11,DCC0061,DCC1377,1.0
12,DCC0061,DCC0301,0.861538462
13,DCC0062,DCC1615,0.869565217
14,DCC0043,DCC0051,0.94
15,DCC0043,DCC1247,0.882352941
16,DCC0043,DCC0346,0.851851852
17,DCC0044,DCC1238,0.956521739
18,DCC0044,DCC0246,0.893617021
19,DCC0045,DCC1368,0.85915493
20,DCC0050,DCC1657,0.859375
21,DCC0051,DCC1590,0.87037037
22,DCC0051,DCC1247,0.865384615
23,DCC0051,DCC0243,0.884615385
24,DCC0051,DCC0346,0.905660377
25,DCC0015,DCC0119,0.980392157
26,DCC0015,DCC0197,0.942307692
27,DCC0015,DCC0226,0.857142857
28,DCC0015,DCC0137,0.923076923
29,DCC0018,DCC1231,0.928571429
30,DCC0020,DCC0024,0.879310345
31,DCC0020,DCC0318,0.981132075
32,DCC0024,DCC0318,0.862068966
33,DCC0026,DCC0097,0.861538462
34,DCC0026,DCC1377,0.873015873
35,DCC0028,DCC1209,0.857142857
36,DCC0028,DCC0324,0.895522388
37,DCC1097,DCC0426,0.864864865
38,DCC1097,DCC0252,0.96969697
39,DCC1097,DCC0340,0.861111111
40,DCC1112,DCC1116,0.869047619
41,DCC1112,DCC1135,0.87654321
42,DCC0794,DCC1381,1.0
43,DCC0836,DCC0343,0.868421053
44,DCC0887,DCC1182,0.970588235
45,DCC0908,DCC0207,0.947368421
46,DCC0426,DCC0340,0.894736842
47,DCC1850,DCC1856,0.852941176
48,DCC1852,DCC1816,0.982758621
49,DCC1854,DCC1855,0.98
50,DCC1854,DCC1256,0.979591837
51,DCC1855,DCC1256,0.96
52,DCC1856,DCC0090,0.892307692
53,DCC1856,DCC1830,0.876923077
54,DCC1856,DCC1814,0.919354839
55,DCC1856,DCC0260,0.921875
56,DCC0094,DCC0088,0.850746269
57,DCC0094,DCC1245,0.850746269
58,DCC0094,DCC0256,0.875
59,DCC0095,DCC1454,0.92
60,DCC0095,DCC1828,0.857142857
61,DCC0095,DCC1393,0.882352941
62,DCC0095,DCC1246,0.88
63,DCC0095,DCC1354,0.98
64,DCC0095,DCC0184,0.9
65,DCC0095,DCC0156,0.9
66,DCC0095,DCC0216,0.9
67,DCC0095,DCC0325,1.0
68,DCC0095,DCC0149,0.960784314
69,DCC0096,DCC1357,0.862068966
70,DCC0096,DCC1525,0.859649123
71,DCC0096,DCC0259,1.0
72,DCC0102,DCC0309,0.882352941
73,DCC0102,DCC0172,0.865384615
74,DCC0103,DCC1745,0.890909091
75,DCC0119,DCC0197,0.924528302
76,DCC0119,DCC0226,0.875
77,DCC0119,DCC0137,0.905660377
78,DCC0123,DCC0311,0.960784314
79,DCC0124,DCC1208,0.882352941
80,DCC0124,DCC0253,0.880597015
81,DCC0124,DCC0279,0.869565217
82,DCC0107,DCC0253,0.895522388
83,DCC0107,DCC0304,0.907692308
84,DCC0112,DCC1530,0.947368421
85,DCC0112,DCC1247,0.857142857
